ra019,rj005m1,rj005m2,rj005m3,rj005m4,rj005m5,rj020,rp047,rp113,rp150,rp180,rx060_r,rz216,rv550,rv551,rv552,rv553,rv554,rv555,rv556,rv557,rv558,rv559,rv560,rv561,rv562,rv563,rv564,rq021,rq134,rq148,rq316,rq317,rq331,rq345,rq357
77,6,,,,,5,998,,,,2,3,,,,,,,,,,,,,,,,,,,5,,,,
87,5,,,,,5,,,,,2,2,,,,,,,,,,,,,,,,,,,5,,,,
69,5,,,,,5,0,,,998,2,11,,,,,,,,,,,,,,,,,,,5,,,9999999,
80,5,,,,,5,80,,60,80,1,3,,,,,,,,,,,,,,,,,,,5,,,800,
70,4,,,,,5,,,,,2,3,998,998,998,998,998,998,1,10,98,98,10,98,0,98,0,,,,5,,,,
81,4,,,,,5,998,,,,2,11,,,,,,,,,,,,,,,,,,,5,,,,
85,4,,,,,5,,,,,2,12,,,,,,,,,,,,,,,,,,,5,,,,
82,5,,,,,5,-8,,-8,,2,14,,,,,,,,,,,,,,,,,,,5,,,-8,
73,1,,,,,1,50,1,20,10,2,13,,,,,,,,,,,,,,,,,4000,,1,1500000,,60000,
81,5,,,,,5,-8,,-8,,2,12,,,,,,,,,,,,,,,,,,,5,,,30000,
80,5,,,,,5,50,2,,,1,13,0,0,0,0,10,45,1,5,3,3,3,5,3,5,2,,,,5,,,9999999,
83,5,,,,,5,50,2,,,2,13,,,,,,,,,,,,,,,,,,,5,,,9999999,
83,5,,,,,5,80,,50,10,2,12,,,,,,,,,,,,,,,,,,,5,,,,160000
85,5,,,,,5,50,2,,,2,15,,,,,,,,,,,,,,,,,,,5,,,26000,203000
57,1,,,,,1,50,1,50,50,2,17,,,,,,,,,,,,,,,,,,,,,,,
79,6,,,,,5,999,,,,2,8,,,,,,,,,,,,,,,,,,,5,,,9999998,
81,5,6,,,,5,10,,10,10,2,14,,,,,,,,,,,,,,,,,,,5,,,16,
79,4,5,,,,5,,,,,2,12,,,,,,,,,,,,,,,,,,,5,,,1050,
78,5,,,,,5,5,,5,5,2,12,,,,,,,,,,,,,,,,,,,5,,,,
87,5,,,,,5,10,,20,20,2,17,,,,,,,,,,,,,,,,,,,5,,,,
77,5,,,,,5,100,,90,,1,8,,,,,,,,,,,,,,,,,,,5,,,,
73,5,,,,,5,50,2,,,2,13,,,,,,,,,,,,,,,,,,,5,,,2000,
86,5,,,,,5,20,,998,,1,12,,,,,,,,,,,,,,,,,,,5,,,9999998,
84,5,,,,,5,30,,60,30,2,17,,,,,,,,,,,,,,,,,,,1,100000,,20000,
80,5,,,,,5,,,,,2,14,,,,,,,,,,,,,,,,,,99999998,1,172000,,,
78,5,,,,,5,50,2,,,1,17,,,,,,,,,,,,,,,,,,99999998,1,172000,,,
80,5,,,,,5,50,2,,,1,17,,,,,,,,,,,,,,,,,,99999998,1,115808,,8977,6000
75,5,,,,,1,10,,5,5,2,17,,,,,,,,,,,,,,,,,,99999998,1,115808,,8977,6000
75,4,,,,,5,,,,,2,13,,,,,,,,,,,,,,,,,,,,,,,
79,5,,,,,5,,,,,2,13,,,,,,,,,,,,,,,,,,,5,,,,
89,5,,,,,5,998,,,,1,12,,,,,,,,,,,,,,,,,,,5,,,,
84,4,5,,,,5,25,,50,60,2,9,,,,,,,,,,,,,,,,,,,5,,,7000,
84,5,,,,,5,20,,20,10,1,14,,,,,,,,,,,,,,,,,,,,,,,
90,5,,,,,5,998,,,,2,15,,,,,,,,,,,,,,,,,100000,,1,200000,,450000,999999998
75,5,,,,,5,50,2,,,2,16,,,,,,,,,,,,,,,,,,,5,,,9999999,
83,5,,,,,5,100,,100,,2,14,,,,,,,,,,,,,,,,,-8,,1,-8,,-8,
80,5,,,,,5,10,,10,10,2,11,,,,,,,,,,,,,,,,,,,5,,,500,
79,5,,,,,5,50,1,20,20,2,16,,,,,,,,,,,,,,,,,,,8,,,10000,
83,98,,,,,5,998,,,,2,8,,,,,,,,,,,,,,,,,,,5,,,300,
87,5,,,,,5,80,,80,0,1,12,,,,,,,,,,,,,,,,,,,5,,,15000,
86,5,6,,,,5,0,,,998,2,12,,,,,,,,,,,,,,,,,,,5,,,15000,
83,5,,,,,5,60,,50,40,2,12,,,,,,,,,,,,,,,,,,,5,,,25000,
71,5,,,,,5,15,,10,5,2,10,,,,,,,,,,,,,,,,,,,5,,,,
81,5,,,,,5,998,,,,2,16,,,,,,,,,,,,,,,,,,,5,,,250,
69,5,,,,,5,50,2,,,2,12,,,,,,,,,,,,,,,,,,,5,,,,
83,5,,,,,5,998,,,,2,12,,,,,,,,,,,,,,,,,,,5,,,9999998,
86,5,,,,,5,6,,7,10,2,13,,,,,,,,,,,,,,,,,,,5,,,,
87,5,,,,,5,998,,,,2,17,,,,,,,,,,,,,,,,,,,5,,,9999999,
79,1,,,,,1,30,,25,0,2,12,,,,,,,,,,,,,,,,25001,,,5,,,,
77,5,6,,,,5,50,2,,,2,14,,,,,,,,,,,,,,,,,,,5,,,70000,
72,5,,,,,5,50,1,50,20,1,12,,,,,,,,,,,,,,,,,,,5,,,70000,
81,5,,,,,5,50,2,,,1,10,,,,,,,,,,,,,,,,,,,5,,,7400,
81,5,,,,,5,0,,,10,2,12,,,,,,,,,,,,,,,,,,,5,,,7400,
83,5,,,,,5,10,,20,20,1,12,,,,,,,,,,,,,,,,,,,1,75000,,12000,
82,4,,,,,5,50,2,,,2,12,,,,,,,,,,,,,,,,,,,1,75000,,12000,
85,5,,,,,5,50,2,,,2,12,,,,,,,,,,,,,,,,,,,5,,,9999998,
81,5,,,,,5,5,,5,4,2,12,,,,,,,,,,,,,,,,,,,5,,,6000,
74,5,,,,,5,5,,5,1,2,12,,,,,,,,,,,,,,,,,200000,,5,,,100000,
78,5,,,,,5,50,2,,,2,14,,,,,,,,,,,,,,,,,,,1,225000,,17000,10000
76,5,,,,,5,70,,50,25,1,16,,,,,,,,,,,,,,,,,,,1,225000,,17000,10000
80,5,,,,,5,80,,70,998,1,12,,,,,,,,,,,,,,,,,,,1,999999999,,9999998,
74,5,6,,,,5,998,,,,2,12,,,,,,,,,,,,,,,,,,,1,999999999,,9999998,
86,5,,,,,5,70,,25,10,1,16,,,,,,,,,,,,,,,,,,,1,200000,,49000,300000
82,5,,,,,5,60,,20,0,2,13,0,0,60,50,60,50,1,9,10,10,6,6,9,6,4,,,,1,200000,,49000,300000
80,5,,,,,5,50,1,10,999,2,12,,,,,,,,,,,,,,,,,,,1,999999998,,17000,
84,5,,,,,5,40,,10,50,1,12,,,,,,,,,,,,,,,,,,,5,,,50000,
79,5,,,,,5,50,2,,,2,12,10,10,10,50,50,10,1,8,8,8,8,6,5,8,2,,,,5,,,50000,
84,5,,,,,5,60,,50,15,1,12,,,,,,,,,,,,,,,,,,,5,,,10000,
87,5,,,,,5,10,,0,75,2,12,,,,,,,,,,,,,,,,,,,5,,,600000,
83,5,,,,,5,50,2,,,2,12,,,,,,,,,,,,,,,,,,,1,1234904,,,
81,5,,,,,5,80,,80,10,1,12,,,,,,,,,,,,,,,,,,,5,,,125000,
72,7,,,,,1,998,,,,2,16,,,,,,,,,,,,,,,,,,,5,,,125000,
74,4,5,,,,5,50,8,,,1,12,,,,,,,,,,,,,,,,,,,5,,,8000,
88,5,,,,,5,75,,75,5,2,16,,,,,,,,,,,,,,,,,,,1,500000,500000,,999999998
81,5,,,,,5,35,,25,5,1,12,,,,,,,,,,,,,,,,,,,1,80000,,95000,
80,5,,,,,5,80,,85,50,1,12,,,,,,,,,,,,,,,,,500000,,5,,,100000,
58,1,,,,,1,50,1,50,50,2,12,,,,,,,,,,,,,,,,,500000,,5,,,100000,
83,5,,,,,5,80,,45,50,2,17,,,,,,,,,,,,,,,,,,,1,999999999,9999999,9999999,
83,5,,,,,5,50,1,50,50,1,17,,,,,,,,,,,,,,,,,,,1,650000,,350000,
85,5,,,,,5,100,,100,,1,11,,,,,,,,,,,,,,,,,350000,,8,,,9999998,
75,5,1,,,,1,85,,50,85,2,16,,,,,,,,,,,,,,,,,350000,,8,,,9999998,
68,5,,,,,5,100,,100,,2,12,,,,,,,,,,,,,,,,,,,1,50000,,,
59,2,,,,,5,10,,20,50,1,17,,,,,,,,,,,,,,,,,,,5,,,100,
85,5,,,,,5,50,1,25,20,1,16,,,,,,,,,,,,,,,,,,,1,300000,,120000,
84,5,,,,,5,75,,50,25,2,10,50,25,15,50,50,10,1,5,5,6,8,8,99,99,99,,,,1,300000,,120000,
71,1,,,,,1,60,,30,40,1,14,,,,,,,,,,,,,,,,,,,5,,,10000,
83,4,,,,,5,0,,,80,2,6,,,,,,,,,,,,,,,,,,,5,,,,
87,5,,,,,5,0,,,20,2,16,,,,,,,,,,,,,,,,,250000,,1,-8,,-8,
86,5,,,,,5,50,2,,,2,17,,,,,,,,,,,,,,,,,,,5,,,100000,-8
78,5,,,,,5,70,,50,10,1,16,,,,,,,,,,,,,,,,,250000,,5,,,40000,
79,1,,,,,1,50,2,,,2,14,,,,,,,,,,,,,,,,,250000,,5,,,40000,
80,5,,,,,5,100,,50,,1,17,,,,,,,,,,,,,,,,,,,-8,,,,
50,1,,,,,1,50,1,5,5,2,14,,,,,,,,,,,,,,,,,,,-8,,,,
80,4,,,,,5,,,,,2,12,,,,,,,,,,,,,,,,,,,5,,,,
85,5,,,,,5,100,,80,,1,17,,,,,,,,,,,,,,,,,6600000,,1,600000,,110000,
82,7,1,,,,1,75,,75,0,2,14,,,,,,,,,,,,,,,,,6600000,,1,600000,,110000,
83,5,,,,,5,50,2,,,2,13,,,,,,,,,,,,,,,,,,,5,,,3200,3200
85,5,,,,,5,50,2,,,2,12,,,,,,,,,,,,,,,,,,,5,,,6000,25000
81,4,5,,,,5,,,,,2,14,,,,,,,,,,,,,,,,,,,5,,,,
76,5,,,,,5,60,,60,60,2,9,,,,,,,,,,,,,,,,,,,,,,,
80,5,,,,,5,70,,50,50,1,10,,,,,,,,,,,,,,,,,,,5,,,80000,
75,5,,,,,5,50,2,,,2,10,,,,,,,,,,,,,,,,,,,5,,,80000,
80,5,,,,,5,80,,80,50,2,14,10,10,75,75,75,75,1,3,8,8,2,2,2,2,4,,,,5,,,100000,
80,5,,,,,1,50,2,,,2,9,,,,,,,,,,,,,,,,,,,5,,,53,
78,5,,,,,5,50,2,,,2,17,,,,,,,,,,,,,,,,,,,5,,,9999998,
86,5,,,,,5,0,,,100,2,16,,,,,,,,,,,,,,,,,,,5,,,9999998,999999998
83,5,,,,,5,100,,5,,1,17,,,,,,,,,,,,,,,,,,,5,,,32000,100000
78,5,,,,,5,50,2,,,2,14,25,25,25,30,25,25,1,9,7,7,7,6,6,7,3,,,,5,,,32000,100000
73,5,,,,,5,50,-8,50,50,2,12,,,,,,,,,,,,,,,,,,,5,,,,
83,5,,,,,5,50,1,50,20,1,17,,,,,,,,,,,,,,,,,150000,,5,,,9999998,
82,5,,,,,5,30,,30,30,2,16,,,,,,,,,,,,,,,,,150000,,5,,,9999998,
88,5,,,,,5,999,,,,2,17,,,,,,,,,,,,,,,,,,,5,,,25000,
72,5,,,,,5,50,2,,,1,17,,,,,,,,,,,,,,,,,,,5,,,5000,
87,5,,,,,5,50,2,,,2,0,,,,,,,,,,,,,,,,,,,5,,,,
87,6,,,,,5,0,,,998,1,1,,,,,,,,,,,,,,,,,,,5,,,,
79,6,,,,,5,50,2,,,2,11,50,100,50,100,100,50,1,10,0,0,10,0,10,0,0,,,,5,,,,
79,4,5,,,,5,50,2,,,2,12,,,,,,,,,,,,,,,,,,,5,,,,
85,5,,,,,5,60,,50,40,1,15,,,,,,,,,,,,,,,,,,,5,,,,
57,5,,,,,5,51,,5,5,2,16,51,51,49,10,5,10,-8,9,8,8,8,8,8,8,5,,,,5,,,,
84,5,,,,,5,20,,50,20,1,17,,,,,,,,,,,,,,,,,,,5,,,800000,
85,5,,,,,5,50,2,,,2,16,,,,,,,,,,,,,,,,,,,1,50000,,6000,
82,5,,,,,5,50,2,,,1,14,,,,,,,,,,,,,,,,,500000,,5,,,100000,
76,5,,,,,5,30,,10,25,2,17,80,50,70,75,75,85,1,7,4,5,6,3,3,4,4,,500000,,5,,,100000,
82,5,,,,,5,70,,50,25,1,17,,,,,,,,,,,,,,,,,130000,,1,10000,,70000,5000
83,6,,,,,5,50,2,,,2,16,0,20,60,50,50,50,1,98,98,98,98,98,98,98,98,,130000,,1,10000,,70000,5000
89,5,,,,,5,,,,,2,17,,,,,,,,,,,,,,,,,,,8,,,9999998,
85,5,,,,,5,90,,90,50,1,13,,,,,,,,,,,,,,,,,,0,5,,,,
67,1,,,,,1,10,,10,10,2,12,,,,,,,,,,,,,,,,,,0,5,,,,
89,5,,,,,5,50,1,30,50,2,16,,,,,,,,,,,,,,,,,,,1,999999998,,20000,10000
85,5,,,,,5,20,,10,50,2,12,,,,,,,,,,,,,,,,,,,1,90000,,40000,
79,5,,,,,5,,,,,2,12,,,,,,,,,,,,,,,,,,,5,,,6000,
81,5,,,,,5,80,,45,60,2,12,,,,,,,,,,,,,,,,,,,5,,,3700,
77,5,,,,,5,40,,20,10,1,14,20,10,25,25,30,45,1,9,10,10,7,7,6,5,8,,,,5,,,3700,
84,5,,,,,5,20,,10,10,1,12,,,,,,,,,,,,,,,,,,,5,,,7500,
82,5,,,,,5,25,,20,25,2,12,,,,,,,,,,,,,,,,,,,5,,,7500,
89,5,,,,,5,50,2,,,1,13,,,,,,,,,,,,,,,,,,,5,,,,
85,5,,,,,5,50,2,,,2,9,,,,,,,,,,,,,,,,,,,5,,,18000,
82,5,,,,,5,50,1,40,20,1,13,,,,,,,,,,,,,,,,,,,5,,,5000,
78,5,,,,,5,50,2,,,2,12,,,,,,,,,,,,,,,,,,,5,,,5000,
88,4,,,,,5,50,2,,,2,12,,,,,,,,,,,,,,,,,,,5,,,1000,
82,6,,,,,5,,,,,2,17,,,,,,,,,,,,,,,,,100000,1000000,5,,,9999998,
86,1,,,,,1,50,2,,,1,17,,,,,,,,,,,,,,,,,100000,1000000,5,,,9999998,
83,5,,,,,5,998,,,,2,8,,,,,,,,,,,,,,,,,,,5,,,,
81,5,,,,,5,75,,15,10,2,14,,,,,,,,,,,,,,,,,,,5,,,13000,
75,5,,,,,5,80,,50,30,2,14,,,,,,,,,,,,,,,,,,99999998,1,30000,,6500,
79,6,,,,,5,75,,60,50,2,14,,,,,,,,,,,,,,,,,,,1,2000,,30000,
87,5,6,,,,5,10,,10,70,2,15,,,,,,,,,,,,,,,,,,,5,,,7000,
88,4,,,,,5,,,,,2,12,,,,,,,,,,,,,,,,,,,5,,,,
82,5,,,,,5,0,,,20,2,12,,,,,,,,,,,,,,,,,,,5,,,,
80,5,,,,,5,70,,70,50,2,12,,,,,,,,,,,,,,,,,,,5,,,12000,
78,5,,,,,5,30,,35,30,2,12,,,,,,,,,,,,,,,,,,,5,,,2100,
87,5,,,,,5,50,2,,,1,12,,,,,,,,,,,,,,,,,,,1,999999998,,9999998,
82,5,6,,,,5,20,,20,50,2,14,,,,,,,,,,,,,,,,,,,1,999999998,,9999998,
83,5,,,,,5,100,,40,,2,12,,,,,,,,,,,,,,,,,,,5,,,1312,
84,5,,,,,5,75,,50,50,2,17,,,,,,,,,,,,,,,,,,,5,,,10000,
80,3,,,,,1,50,2,,,2,13,,,,,,,,,,,,,,,,0,,,5,,,500,
81,5,,,,,5,998,,,,2,16,,,,,,,,,,,,,,,,,,,,,,,
78,5,4,,,,5,10,,10,50,2,12,,,,,,,,,,,,,,,,,,,5,,,2000,
88,5,,,,,5,10,,10,80,1,8,,,,,,,,,,,,,,,,,,,5,,,2000,
84,4,5,,,,5,,,,,1,10,,,,,,,,,,,,,,,,,,,5,,,1000,
85,5,,,,,5,50,2,,,2,12,,,,,,,,,,,,,,,,,,,5,,,2500,
82,6,,,,,5,60,,40,20,2,12,,,,,,,,,,,,,,,,,,,5,,25000,35000,
88,5,,,,,5,,,,,2,8,,,,,,,,,,,,,,,,,,,5,,,6000,
80,5,,,,,5,50,2,,,2,12,,,,,,,,,,,,,,,,,,,5,,,8000,
62,4,,,,,5,10,,10,5,2,12,,,,,,,,,,,,,,,,,,,5,,,7000,
70,5,,,,,5,0,,,0,1,12,,,,,,,,,,,,,,,,,,,5,,,7000,
81,5,,,,,5,10,,10,10,2,15,,,,,,,,,,,,,,,,,,,5,,100000,6000,
82,5,,,,,5,0,,,10,1,12,,,,,,,,,,,,,,,,,,,5,,,20000,
76,1,,,,,1,50,2,,,2,12,50,50,10,50,25,25,1,8,5,5,10,8,5,10,5,,,,5,,,60000,
82,5,,,,,5,50,2,,,1,17,,,,,,,,,,,,,,,,,,,5,,,1000,
85,5,,,,,5,60,,100,,2,12,,,,,,,,,,,,,,,,,,,5,,,2000,
83,5,,,,,5,25,,10,20,1,14,,,,,,,,,,,,,,,,,,,5,,,23000,
82,5,,,,,5,0,,,50,2,12,,,,,,,,,,,,,,,,,,,5,,,9999998,
79,5,,,,,5,80,,80,10,1,12,,,,,,,,,,,,,,,,,,,5,,,9999999,
72,5,,,,,5,998,,,,2,12,,,,,,,,,,,,,,,,,,,5,,,9999999,
80,5,,,,,5,10,,10,0,1,15,,,,,,,,,,,,,,,,,,,5,,,6000,
78,5,,,,,5,10,,10,10,2,13,10,10,10,10,50,10,1,10,5,5,3,3,3,3,0,,,,5,,,6000,
84,5,,,,,5,50,1,40,50,1,12,,,,,,,,,,,,,,,,,,,1,250000,,45000,
86,5,,,,,5,20,,10,40,1,12,,,,,,,,,,,,,,,,,100000,,5,,,50000,999999998
74,5,,,,,5,0,,,85,2,8,,,,,,,,,,,,,,,,,,,5,,,200,
76,5,,,,,5,50,2,,,2,12,,,,,,,,,,,,,,,,,,,5,,,15000,
78,5,,,,,5,-8,,-8,,1,14,,,,,,,,,,,,,,,,,,-8,5,,,,-8
77,5,7,,,,5,,,,,2,12,,,,,,,,,,,,,,,,,,-8,5,,,,-8
86,5,,,,,5,,,,,1,12,,,,,,,,,,,,,,,,,,,5,,,9999998,999999998
73,5,,,,,5,20,,20,20,2,12,,,,,,,,,,,,,,,,,,,5,,,2490,
81,5,,,,,5,50,2,,,2,12,75,75,75,95,75,75,1,7,3,3,5,5,5,5,0,,,,5,,,30000,
87,5,,,,,5,998,,,,1,12,50,50,20,50,998,998,1,7,7,7,8,7,98,8,7,,,99999998,5,,,9999999,
81,5,,,,,5,50,2,,,1,14,,,,,,,,,,,,,,,,,,800000,5,,,,
77,5,,,,,5,50,2,,,2,11,,,,,,,,,,,,,,,,,,,5,,,2000,
84,5,,,,,5,0,,,25,2,12,,,,,,,,,,,,,,,,,,,5,,,30000,
82,1,,,,,1,60,,40,80,1,8,,,,,,,,,,,,,,,,,,,5,,,9000,
71,1,,,,,1,60,,40,40,2,12,,,,,,,,,,,,,,,,,,,5,,,9000,
84,5,,,,,5,75,,50,10,1,12,,,,,,,,,,,,,,,,,,,5,,,30000,
81,5,,,,,5,50,2,,,2,12,,,,,,,,,,,,,,,,,,,5,,,25000,10000
77,5,,,,,5,30,,50,50,2,12,,,,,,,,,,,,,,,,,,99999998,5,,,2000,
65,1,,,,,1,75,,50,30,1,9,,,,,,,,,,,,,,,,,,99999998,5,,,2000,
76,5,,,,,5,50,2,,,2,12,,,,,,,,,,,,,,,,,,,5,,,9999998,
85,5,,,,,5,998,,,,1,17,0,0,0,20,20,20,1,5,8,8,8,5,8,8,5,,,1500000,1,1500000,,500000,2000000
84,6,,,,,5,,,,,2,13,,,,,,,,,,,,,,,,,,1500000,1,1500000,,500000,2000000
75,5,3,,,,1,70,,30,40,2,14,,,,,,,,,,,,,,,,,,40000,1,999999999,,9999999,999999999
81,1,,,,,1,50,2,,,1,12,,,,,,,,,,,,,,,,,,,1,268000,,28000,
84,5,,,,,5,50,2,,,2,12,,,,,,,,,,,,,,,,,,800000,1,180000,,20000,15000
85,7,,,,,5,80,,5,20,1,12,,,,,,,,,,,,,,,,,,800000,1,180000,,20000,15000
65,5,,,,,5,998,,,,2,13,,,,,,,,,,,,,,,,,,,5,,,200,
84,5,6,,,,5,,,,,2,14,,,,,,,,,,,,,,,,,,,1,300000,,,
86,5,,,,,5,0,,,0,1,12,,,,,,,,,,,,,,,,,,,1,300000,,,
79,5,,,,,1,998,,,,1,9,,,,,,,,,,,,,,,,,,,5,,,4500,
75,5,,,,,5,20,,30,40,2,12,,,,,,,,,,,,,,,,,,,5,,,4500,
79,5,,,,,5,20,,10,5,2,12,,,,,,,,,,,,,,,,,,,1,999999998,,100000,
83,5,,,,,5,75,,50,75,1,12,,,,,,,,,,,,,,,,,,,1,999999998,,100000,
59,4,7,,,,5,10,,10,80,2,13,10,10,40,20,40,10,1,4,9,9,4,2,2,8,1,,,,5,,,280,
83,5,,,,,5,20,,30,30,2,12,,,,,,,,,,,,,,,,,,,5,,,9999999,
87,5,,,,,5,50,1,20,20,1,14,,,,,,,,,,,,,,,,,40000,99999998,5,,,45000,
72,5,,,,,5,50,1,10,15,1,12,,,,,,,,,,,,,,,,,,,5,,,7000,
78,5,,,,,5,,,,,1,10,,,,,,,,,,,,,,,,,,,5,,,5000,
75,1,3,,,,1,10,,0,80,2,12,,,,,,,,,,,,,,,,,,,5,,,5000,
87,5,,,,,5,40,,60,30,1,16,,,,,,,,,,,,,,,,,,42000,1,15000,,6600,
77,5,,,,,5,10,,25,75,2,12,,,,,,,,,,,,,,,,,,,5,,,700,
85,5,,,,,5,50,2,,,2,12,,,,,,,,,,,,,,,,,,,5,,,60000,
80,1,,,,,1,75,,50,50,1,17,,,,,,,,,,,,,,,,,,1005000,5,,,3000,
77,5,6,,,,5,10,,8,15,2,17,,,,,,,,,,,,,,,,,,1005000,5,,,3000,
81,5,,,,,5,65,,50,40,2,13,,,,,,,,,,,,,,,,,,99999998,1,64000,,100000,
80,6,,,,,5,60,,50,20,2,15,,,,,,,,,,,,,,,,,,,1,999999998,,,
78,5,,,,,5,30,,0,30,2,14,,,,,,,,,,,,,,,,,100000,,1,65000,,20000,
84,5,,,,,5,30,,30,10,1,8,,,,,,,,,,,,,,,,,,,1,5000,,,
80,5,,,,,5,50,2,,,2,10,10,20,40,50,40,50,1,2,8,7,4,5,4,3,4,,,,1,5000,,,
81,6,,,,,5,50,9,20,20,2,12,,,,,,,,,,,,,,,,,,,5,,,9999999,999999999
83,5,6,,,,5,50,2,,,2,12,30,30,40,30,30,30,1,8,7,7,7,8,7,7,7,,,,1,999999999,,9999999,999999999
85,5,,,,,5,50,2,,,1,12,,,,,,,,,,,,,,,,,,,1,999999999,,9999999,999999999
81,5,,,,,5,25,,25,0,2,12,,,,,,,,,,,,,,,,,,,5,,,12000,
81,5,,,,,5,50,2,,,1,10,,,,,,,,,,,,,,,,,,150000,1,999999998,,,
77,6,5,,,,5,50,2,,,2,12,,,,,,,,,,,,,,,,,,150000,1,999999998,,,
87,5,,,,,5,0,,,,2,16,,,,,,,,,,,,,,,,,,,1,4500,,15000,150000
83,5,,,,,5,0,,,100,2,12,,,,,,,,,,,,,,,,,,,1,999999999,,9999999,
62,4,,,,,5,0,,,,2,12,,,,,,,,,,,,,,,,,,,5,,,,1400
76,5,,,,,5,50,2,,,2,12,,,,,,,,,,,,,,,,,,99999998,1,150000,,9999998,
80,5,,,,,5,5,,10,50,2,12,,,,,,,,,,,,,,,,,,500000,1,200000,,12000,
82,1,5,,,,1,75,,15,20,1,16,20,20,20,80,20,20,1,10,10,10,10,5,5,5,1,,,500000,1,200000,,12000,
87,5,,,,,5,50,8,,,1,17,,,,,,,,,,,,,,,,,300000,,1,160000,,9999999,50000
72,5,,,,,5,50,2,,,2,17,,,,,,,,,,,,,,,,,300000,,1,160000,,9999999,50000
67,5,,,,,5,30,,20,30,2,12,,,,,,,,,,,,,,,,,,,5,,,9999999,
86,5,,,,,5,50,2,,,2,14,,,,,,,,,,,,,,,,,,,5,,,10000,
81,5,,,,,5,50,2,,,1,16,,,,,,,,,,,,,,,,,,,5,,,,
78,4,,,,,5,999,,,,2,12,,,,,,,,,,,,,,,,,,,5,,,,
76,5,,,,,5,0,,,100,2,12,,,,,,,,,,,,,,,,,160000,,5,,,55000,100000
81,4,5,,,,5,3,,3,2,1,6,,,,,,,,,,,,,,,,,,,5,,,,
72,5,6,,,,5,0,,,5,2,12,,,,,,,,,,,,,,,,,,,5,,,,
81,5,,,,,5,0,,,0,2,12,,,,,,,,,,,,,,,,,,,9,,,,
87,5,4,,,,5,,,,,1,14,,,,,,,,,,,,,,,,,,,5,,,,
78,5,6,,,,5,50,2,,,2,13,,,,,,,,,,,,,,,,,,,5,,,,
85,3,,,,,1,50,2,,,2,14,,,,,,,,,,,,,,,,0,,,5,,,9999999,
69,5,,,,,5,,,,,2,7,,,,,,,,,,,,,,,,,,,5,,,,
76,5,,,,,5,0,,,100,2,12,,,,,,,,,,,,,,,,,,,,,,,
80,5,,,,,5,50,1,50,5,2,16,0,20,0,0,0,0,-8,9,-8,8,9,9,9,5,3,,,,1,52000,,27000,
82,5,,,,,5,998,,,,2,17,,,,,,,,,,,,,,,,,,,5,,,9999999,
81,5,,,,,5,25,,10,10,1,12,,,,,,,,,,,,,,,,,6000,,5,,,,
79,4,,,,,5,75,,50,10,2,10,,,,,,,,,,,,,,,,,6000,,5,,,,
65,5,,,,,5,3,,3,6,2,9,,,,,,,,,,,,,,,,,,,5,,,5,
82,5,,,,,5,100,,80,,1,0,100,100,100,0,0,0,1,10,10,10,10,10,10,10,10,,,,5,,,,
88,5,,,,,5,,,,,2,12,,,,,,,,,,,,,,,,,,,5,,,,
72,5,,,,,5,20,,20,20,2,12,,,,,,,,,,,,,,,,,,,5,,,140000,
84,5,6,,,,5,90,,80,50,2,12,,,,,,,,,,,,,,,,,,,,,,,
84,5,6,4,,,5,10,,0,998,2,12,,,,,,,,,,,,,,,,,,,5,,,9999998,
72,5,6,,,,5,20,,15,30,2,12,,,,,,,,,,,,,,,,,100000,80000,5,,,9999999,
84,5,,,,,5,75,,80,40,2,17,,,,,,,,,,,,,,,,,,,1,39000,,,
81,1,5,,,,1,,,,,1,9,,,,,,,,,,,,,,,,,,100000,5,,,,
70,1,,,,,1,40,,40,998,2,12,,,,,,,,,,,,,,,,,,100000,5,,,,
84,5,,,,,5,50,2,,,1,12,,,,,,,,,,,,,,,,,,,5,,,180000,9000
76,5,,,,,5,40,,25,40,2,11,,,,,,,,,,,,,,,,,,,5,,,180000,9000
62,4,,,,,5,50,2,,,2,12,,,,,,,,,,,,,,,,,,,5,,,,
83,5,,,,,5,60,,60,50,1,12,,,,,,,,,,,,,,,,,,,5,,,1300,
81,5,,,,,5,25,,10,50,1,17,,,,,,,,,,,,,,,,,200000,100000,1,159000,,130000,
71,5,,,,,5,60,,50,40,2,17,,,,,,,,,,,,,,,,,200000,100000,1,159000,,130000,
81,4,5,6,,,5,60,,40,10,2,10,,,,,,,,,,,,,,,,,,,5,,,,
80,5,,,,,5,20,,50,50,2,12,,,,,,,,,,,,,,,,,,99999998,5,,,,
81,5,,,,,5,50,2,,,1,13,0,0,0,0,0,0,1,7,7,7,5,5,3,5,3,,,470000,5,,,9999998,120000
76,5,,,,,5,60,,50,10,2,17,40,40,20,30,50,60,1,8,8,8,9,5,3,5,3,,,470000,5,,,9999998,120000
86,5,,,,,5,75,,50,50,2,12,,,,,,,,,,,,,,,,,,500000,5,,,,220000
80,5,,,,,5,75,,30,10,1,12,,,,,,,,,,,,,,,,,120000,120000,1,150000,,300000,
77,5,,,,,5,80,,50,30,2,14,,,,,,,,,,,,,,,,,120000,120000,1,150000,,300000,
87,5,7,,,,5,50,2,,,2,11,,,,,,,,,,,,,,,,,,,5,,,2000,
87,5,,,,,5,998,,,,1,16,,,,,,,,,,,,,,,,,,,5,,,9999999,
86,5,,,,,5,25,,20,20,2,13,,,,,,,,,,,,,,,,,,,5,,,9999999,
