ra019,rj005m1,rj005m2,rj005m3,rj005m4,rj005m5,rj020,rp047,rp113,rp150,rp180,rx060_r,rz216,rv550,rv551,rv552,rv553,rv554,rv555,rv556,rv557,rv558,rv559,rv560,rv561,rv562,rv563,rv564,rq021,rq134,rq148,rq316,rq317,rq331,rq345,rq357
80,6,,,,,5,50,1,50,40,2,9,,,,,,,,,,,,,,,,,,,5,,,7500,31000
68,4,,,,,5,1,,8,8,2,10,100,0,100,10,5,2,1,0,0,5,0,2,0,0,4,,,,5,,,,
88,5,,,,,5,8,,15,16,2,5,,,,,,,,,,,,,,,,,,,5,,,,
80,5,,,,,5,85,,0,60,2,14,,,,,,,,,,,,,,,,,,,5,,,5000,
85,5,,,,,5,20,,15,50,2,12,,,,,,,,,,,,,,,,,,,5,,,2000,
83,7,,,,,5,,,,,2,12,,,,,,,,,,,,,,,,,100000,,5,,,,52000
80,1,,,,,1,65,,15,25,1,17,,,,,,,,,,,,,,,,,6000,,1,100000280,,50000,
79,5,,,,,5,100,,70,,1,14,,,,,,,,,,,,,,,,,,,5,,,9999999,
61,2,,,,,5,30,,30,50,2,16,,,,,,,,,,,,,,,,,,,5,,,9999999,
71,5,,,,,5,998,,,,2,2,,,,,,,,,,,,,,,,0,,,5,,,200,
89,5,,,,,5,,,,,2,17,,,,,,,,,,,,,,,,,,,5,,,9999998,999999998
88,5,,,,,5,50,2,,,2,13,,,,,,,,,,,,,,,,,,,1,90000,,35000,10000
87,5,,,,,5,1,,50,25,2,12,,,,,,,,,,,,,,,,,,,5,,,500,
81,5,,,,,5,8,,8,8,1,12,,,,,,,,,,,,,,,,,,,5,,,,
78,1,5,,,,1,20,,35,30,2,14,,,,,,,,,,,,,,,,,,,5,,,4000,
83,5,,,,,5,,,,,2,9,,,,,,,,,,,,,,,,,,,5,,,,
85,5,,,,,5,0,,,50,1,14,,,,,,,,,,,,,,,,,,,5,,,20000,
63,5,,,,,5,50,2,,,2,14,50,50,20,0,100,0,1,10,9,9,8,0,0,7,7,,,,5,,,20000,
84,5,,,,,5,100,,20,,1,17,,,,,,,,,,,,,,,,,,,1,999999998,,,
73,7,,,,,5,50,2,,,2,12,,,,,,,,,,,,,,,,,,,5,,,73000,999999998
85,5,,,,,5,5,,3,5,2,13,,,,,,,,,,,,,,,,,,,5,,,2000,
80,5,,,,,5,998,,,,2,12,,,,,,,,,,,,,,,,,,,5,,,,
76,5,,,,,5,50,1,2,20,1,17,,,,,,,,,,,,,,,,,200000,,5,,,12000,
82,5,,,,,5,100,,100,,1,12,,,,,,,,,,,,,,,,,,,1,70000,,25000,
82,5,,,,,5,,,,,2,11,,,,,,,,,,,,,,,,,,,1,70000,,25000,
86,1,5,,,,1,10,,10,5,2,17,,,,,,,,,,,,,,,,,,,5,,,3000,
80,5,6,,,,5,20,,25,20,2,17,10,5,0,30,30,5,1,7,8,8,8,2,4,5,3,,999999998,,5,,,9999998,
79,5,,,,,5,40,,30,50,2,10,,,,,,,,,,,,,,,,,,,5,,,,
77,5,,,,,5,,,,,2,11,,,,,,,,,,,,,,,,,,,5,,,,
72,5,,,,,5,998,,,,2,12,,,,,,,,,,,,,,,,,,,5,,,21000,
87,5,,,,,5,50,2,,,2,17,,,,,,,,,,,,,,,,,,,5,,,100000,
94,5,,,,,5,50,2,,,1,16,,,,,,,,,,,,,,,,,,,5,,,100000,
83,5,,,,,5,998,,,,2,14,,,,,,,,,,,,,,,,,,,5,,,9999998,
87,5,,,,,5,50,2,,,2,13,,,,,,,,,,,,,,,,,,,1,999999998,,7000,
79,5,,,,,5,80,,50,20,2,11,,,,,,,,,,,,,,,,,,,5,,,,
80,5,6,,,,5,999,,,,2,10,,,,,,,,,,,,,,,,,,,5,,,9999999,
84,1,,,,,1,2,,2,25,1,12,,,,,,,,,,,,,,,,,,,5,,,9999999,
84,5,,,,,5,998,,,,1,12,50,50,50,50,50,50,1,8,7,5,7,5,5,7,7,,,,5,,,,
79,5,6,,,,5,20,,10,30,2,12,,,,,,,,,,,,,,,,,,,5,,,,
85,4,5,,,,5,999,,,,1,12,,,,,,,,,,,,,,,,,,,1,0,,3000,
76,5,,,,,5,0,,,0,2,12,,,,,,,,,,,,,,,,,,,1,0,,3000,
82,5,,,,,5,30,,10,10,1,12,,,,,,,,,,,,,,,,,,,-8,,,-8,
77,5,,,,,5,50,2,,,2,12,,,,,,,,,,,,,,,,,,,-8,,,-8,
87,5,,,,,5,7,,7,3,1,13,,,,,,,,,,,,,,,,,,99999998,5,,,43000,
86,5,6,,,,5,50,2,,,2,12,,,,,,,,,,,,,,,,,,99999998,5,,,43000,
81,5,,,,,5,,,,,1,12,,,,,,,,,,,,,,,,,,,5,,,50000,
77,5,,,,,5,50,2,,,2,12,25,25,0,0,0,50,1,10,5,5,5,10,10,10,0,,,,5,,,50000,
78,5,,,,,5,30,,998,,2,12,,,,,,,,,,,,,,,,,,,5,,,,
86,5,,,,,5,23,,998,,1,17,,,,,,,,,,,,,,,,,,,5,,,3000,
85,5,,,,,5,998,,,,2,16,75,0,0,998,0,998,1,7,8,10,10,8,98,9,98,,,,5,,,3000,
90,5,,,,,5,0,,,0,1,12,,,,,,,,,,,,,,,,,600000,,5,,,9999999,
78,5,,,,,5,25,,25,20,2,17,,,,,,,,,,,,,,,,,,,5,,,80000,
90,5,,,,,5,20,,10,30,1,17,,,,,,,,,,,,,,,,,,,5,,,80000,
81,7,,,,,5,50,1,50,40,2,17,,,,,,,,,,,,,,,,,,,5,,,40000,
81,5,,,,,5,50,2,,,2,14,25,75,75,100,75,50,1,5,5,8,8,4,5,5,3,,,,5,,10000,30000,
80,5,4,,,,5,,,,,1,13,,,,,,,,,,,,,,,,,,,5,,10000,30000,
88,5,,,,,5,40,,50,40,2,9,,,,,,,,,,,,,,,,,,,5,,,5000,
78,5,,,,,5,998,,,,2,12,,,,,,,,,,,,,,,,,,,5,,,6000,
82,5,,,,,5,,,,,1,16,,,,,,,,,,,,,,,,,,,1,999999998,,9999999,
80,6,,,,,5,60,,50,50,2,16,,,,,,,,,,,,,,,,,,,1,999999998,,9999999,
88,5,,,,,5,,,,,2,14,,,,,,,,,,,,,,,,,,,1,999999998,,9999998,
74,5,,,,,5,40,,60,5,2,14,,,,,,,,,,,,,,,,,,,5,,,3000,
83,5,,,,,5,10,,998,,2,13,,,,,,,,,,,,,,,,,,,5,,,9999998,1500
82,5,,,,,5,50,1,50,50,2,14,,,,,,,,,,,,,,,,,,,5,,,2500,
73,5,,,,,5,30,,10,10,2,12,,,,,,,,,,,,,,,,,500000,,5,,,16000,
81,2,,,,,5,10,,30,30,2,14,,,,,,,,,,,,,,,,,,,5,,,,
66,5,,,,,5,80,,70,10,2,13,,,,,,,,,,,,,,,,,,,5,,,11000,
78,5,,,,,5,20,,50,30,2,17,,,,,,,,,,,,,,,,,,,5,,,20000,
85,5,,,,,5,50,2,,,1,17,,,,,,,,,,,,,,,,,,,5,,,80000,
85,5,,,,,5,998,,,,2,16,,,,,,,,,,,,,,,,,,,5,,,80000,
81,5,,,,,5,85,,40,10,1,17,,,,,,,,,,,,,,,,,,,1,500000,,15000,
83,5,,,,,5,50,2,,,1,12,,,,,,,,,,,,,,,,,,,5,,,9999999,
77,5,,,,,5,30,,40,50,2,12,,,,,,,,,,,,,,,,,,,5,,,9999999,
80,5,,,,,5,5,,5,5,2,16,,,,,,,,,,,,,,,,,125000,,1,250000,200000,55000,
83,5,,,,,5,100,,100,,2,14,,,,,,,,,,,,,,,,,400000,,1,25000,,160000,
88,5,,,,,5,50,1,10,50,2,17,,,,,,,,,,,,,,,,,,,1,53000,,,
89,5,,,,,5,50,2,,,1,17,,,,,,,,,,,,,,,,,,,1,53000,,,
64,4,,,,,5,50,2,,,2,12,,,,,,,,,,,,,,,,,,,5,,,,
71,5,,,,,1,998,,,,1,12,,,,,,,,,,,,,,,,,,,5,,,3000,
79,2,,,,,5,50,1,20,10,2,17,,,,,,,,,,,,,,,,,,,5,,,30000,
79,5,,,,,5,50,2,,,1,16,,,,,,,,,,,,,,,,,,,9,,,9999999,
69,5,,,,,5,50,2,,,2,17,,,,,,,,,,,,,,,,,,,9,,,9999999,
75,5,,,,,5,50,2,,,2,16,45,45,45,45,45,50,1,3,5,5,5,5,5,3,5,,,,5,,9999998,500000,999999998
86,5,,,,,5,998,,,,1,16,,,,,,,,,,,,,,,,,,,8,,,,
79,5,,,,,5,50,2,,,1,17,80,80,50,80,50,50,1,8,8,3,5,5,5,5,3,,,,5,,,200000,
78,5,6,,,,5,998,,,,2,16,,,,,,,,,,,,,,,,,,,5,,,200000,
81,5,,,,,5,20,,10,0,2,14,,,,,,,,,,,,,,,,,800000,99999998,1,1600000,,100000,250000
81,5,,,,,5,50,2,,,1,17,,,,,,,,,,,,,,,,,800000,99999998,1,1600000,,100000,250000
63,1,,,,,1,50,2,,,2,13,50,50,75,75,50,50,1,7,7,5,5,5,7,5,5,,,,5,,,,
85,5,4,,,,5,40,,20,15,2,9,,,,,,,,,,,,,,,,,,,5,,,150,
85,5,,,,,5,90,,90,50,2,11,,,,,,,,,,,,,,,,,,,5,,,54000,
81,5,,,,,5,998,,,,2,16,,,,,,,,,,,,,,,,,,,5,,,9999999,
91,5,,,,,5,50,2,,,2,17,,,,,,,,,,,,,,,,,,,5,,,100000,
79,1,,,,,1,50,2,,,2,16,40,40,50,50,50,40,1,8,5,5,4,4,5,5,2,,,,5,,,35000,
83,5,,,,,5,60,,60,10,1,12,40,30,20,20,30,20,1,8,5,5,5,5,5,5,6,,,,5,,,25000,
84,5,,,,,5,,,,,2,12,,,,,,,,,,,,,,,,,,,5,,,25000,
77,5,,,,,5,50,2,,,2,12,,,,,,,,,,,,,,,,,,,1,999999999,,9999999,
85,5,,,,,5,50,2,,,2,12,,,,,,,,,,,,,,,,,,,5,,,,
79,5,,,,,5,-8,,-8,,2,17,,,,,,,,,,,,,,,,0,,,5,,,,
88,5,,,,,5,50,2,,,2,12,,,,,,,,,,,,,,,,,,,5,,,149,
80,4,5,,,,5,50,2,,,1,14,,,,,,,,,,,,,,,,,,,5,,,-8,
82,5,,,,,5,,,,,2,14,100,0,0,0,0,0,1,8,8,1,8,2,2,1,1,,,,9,,,9999999,
73,5,6,,,,5,90,,90,50,2,16,,,,,,,,,,,,,,,,,,,,,,,
81,5,,,,,5,10,,10,10,2,14,,,,,,,,,,,,,,,,,,99999998,5,,,9999999,
84,5,,,,,5,998,,,,1,12,,,,,,,,,,,,,,,,,,,5,,,9999999,
85,6,,,,,5,,,,,2,10,,,,,,,,,,,,,,,,,,,5,,,9999999,
83,7,,,,,5,0,,,100,2,13,,,,,,,,,,,,,,,,,,,5,,,800,
86,5,,,,,5,10,,10,30,1,16,,,,,,,,,,,,,,,,,,,5,,,8000,
79,1,,,,,1,50,2,,,1,17,50,50,80,60,50,50,1,5,5,5,7,3,7,7,2,,150000,0,1,1200000,60000,100000,
71,5,,,,,5,100,,0,,2,16,,,,,,,,,,,,,,,,,150000,0,1,1200000,60000,100000,
86,5,,,,,5,50,2,,,1,16,,,,,,,,,,,,,,,,,,,5,,,,
73,5,,,,,5,90,,90,40,2,17,80,80,80,0,0,20,1,8,8,8,10,10,10,10,5,,,,5,,,,
78,5,,,,,5,0,,,,1,9,,,,,,,,,,,,,,,,,,,5,,,,
81,5,,,,,5,90,,90,10,2,10,,,,,,,,,,,,,,,,,,,5,,,150000,
70,5,,,,,5,15,,10,25,2,12,20,20,25,25,20,25,1,9,5,5,4,2,2,3,5,,,,5,,,,
82,5,,,,,5,10,,10,998,1,11,,,,,,,,,,,,,,,,,,,5,,,3000,
